Name,Transaction_date,Product,Price,Payment_Type,City,State,Country,Account_Created,Last_Login,Latitude,Longitude
Leanne,1/4/2009 1:05,Product1,1200,Diners,Julianstown,Meath,Ireland,1/4/2009 0:00,1/5/2009 13:36,53.6772222,-6.3191667
Janet,1/5/2009 11:37,Product1,1200,Visa,Ottawa,Ontario,Canada,1/5/2009 9:35,1/5/2009 19:24,45.4166667,-75.7
barbara,1/6/2009 5:02,Product1,1200,Diners,Hyderabad,Andhra Pradesh,India,1/6/2009 2:41,1/6/2009 7:52,17.3833333,78.4666667
Sabine,1/6/2009 7:45,Product2,3600,Visa,London,England,United Kingdom,1/6/2009 7:00,1/6/2009 9:17,51.52721,0.14559
Hani,1/2/2009 7:35,Product1,1200,Diners,Salt Lake City              ,UT,United States,12/30/2008 5:44,1/6/2009 10:52,40.76083,-111.89028
Jeremy,1/6/2009 12:56,Product1,1200,Visa,Manchester,England,United Kingdom,1/6/2009 10:58,1/6/2009 13:31,53.5,-2.2166667
Janis,1/1/2009 11:05,Product1,1200,Diners,Ballynora,Cork,Ireland,12/10/2007 12:37,1/7/2009 1:52,51.8630556,-8.58
Nicola,1/5/2009 4:10,Product1,1200,Mastercard,Roodepoort,Gauteng,South Africa,1/5/2009 2:33,1/7/2009 5:13,-26.1666667,27.8666667
asuman,1/6/2009 7:18,Product1,1200,Visa,Chula Vista                 ,CA,United States,1/6/2009 7:07,1/7/2009 7:08,32.64,-117.08333
Lena,1/2/2009 1:11,Product1,1200,Mastercard,Kuopio,Ita-Suomen Laani,Finland,12/31/2008 2:48,1/7/2009 10:20,62.9,27.6833333
Lisa,1/1/2009 2:24,Product1,1200,Visa,Sugar Land                  ,TX,United States,1/1/2009 1:56,1/7/2009 10:52,29.61944,-95.63472
Bryan Kerrene,1/7/2009 8:08,Product1,1200,Diners,New York                    ,NY,United States,1/7/2009 7:39,1/7/2009 12:38,40.71417,-74.00639
chris,1/2/2009 2:57,Product1,1200,Visa,London,England,United Kingdom,1/3/2008 7:23,1/7/2009 13:14,51.52721,0.14559
Maxine,1/1/2009 20:21,Product1,1200,Visa,Morton                      ,IL,United States,10/24/2008 6:48,1/7/2009 20:49,40.61278,-89.45917
Family,1/8/2009 0:42,Product1,1200,Visa,Los Gatos                   ,CA,United States,1/8/2009 0:28,1/8/2009 3:39,37.22667,-121.97361
Katherine,1/8/2009 3:56,Product1,1200,Mastercard,New York                    ,NY,United States,1/8/2009 3:33,1/8/2009 6:19,40.71417,-74.00639
Linda,1/8/2009 3:16,Product1,1200,Mastercard,Miami                       ,FL,United States,1/8/2009 3:06,1/8/2009 6:34,25.77389,-80.19389
SYLVIA,1/8/2009 1:59,Product1,1200,Mastercard,Vesenaz,Geneve,Switzerland,11/28/2007 11:56,1/8/2009 7:20,46.2333333,6.2
Sheila,1/3/2009 9:03,Product1,1200,Diners,Brooklyn                    ,NY,United States,1/3/2009 8:47,1/8/2009 10:38,40.65,-73.95
Stephanie,1/5/2009 13:17,Product1,1200,Mastercard,Badhoevedorp,Noord-Holland,Netherlands,1/5/2009 12:45,1/8/2009 11:45,52.3333333,4.7833333
Kelly,1/6/2009 7:46,Product1,1200,Amex,Reston                      ,VA,United States,1/6/2009 7:30,1/8/2009 12:40,38.96861,-77.34139
James,1/5/2009 20:00,Product2,3600,Visa,Burpengary,Queensland,Australia,12/10/2008 19:53,1/8/2009 17:58,-27.1666667,152.95
jennifer,1/8/2009 16:24,Product1,1200,Visa,Phoenix                     ,AZ,United States,1/8/2009 15:57,1/8/2009 18:30,33.44833,-112.07333
Anneli,1/9/2009 6:39,Product1,1200,Mastercard,Houston                     ,TX,United States,1/9/2009 5:09,1/9/2009 7:11,29.76306,-95.36306
Ritz,1/6/2009 22:19,Product2,3600,Amex,Pittsfield                  ,VT,United States,1/6/2009 12:00,1/9/2009 10:05,43.77222,-72.81333
Sylvia,1/6/2009 23:00,Product2,3600,Amex,Pittsfield                  ,VT,United States,1/6/2009 12:00,1/9/2009 10:05,43.77222,-72.81333
Marie,1/7/2009 7:44,Product1,1200,Mastercard,Ball Ground                 ,GA,United States,1/7/2009 5:35,1/9/2009 10:52,34.33806,-84.37667
Mehmet Fatih,1/3/2009 13:24,Product1,1200,Visa,Helsingor,Frederiksborg,Denmark,1/3/2009 12:47,1/9/2009 11:14,56.0333333,12.6166667
Anabela,1/7/2009 15:12,Product2,3600,Visa,Flossmoor                   ,IL,United States,1/5/2009 19:55,1/9/2009 16:03,41.54278,-87.68472
Nicole,1/7/2009 20:15,Product1,1200,Amex,Houston                     ,TX,United States,1/7/2009 17:17,1/9/2009 20:02,29.76306,-95.36306
Christiane ,1/3/2009 10:11,Product2,3600,Visa,Delray Beach                ,FL,United States,1/3/2009 9:27,1/10/2009 9:46,26.46111,-80.07306
Sari,1/9/2009 15:58,Product1,1200,Mastercard,Newbury,England,United Kingdom,1/9/2009 14:53,1/10/2009 13:16,51.4,-1.3166667
simone,1/3/2009 13:11,Product1,1200,Mastercard,Kobenhavn,Kobenhavn,Denmark,10/31/2008 0:31,1/10/2009 13:24,55.6666667,12.5833333
Vanessa,1/10/2009 12:57,Product1,1200,Amex,Sandy Springs               ,GA,United States,2/7/2007 20:16,1/10/2009 14:09,33.92417,-84.37861
Anupam,1/10/2009 14:43,Product1,1200,Diners,Kinsaley,Dublin,Ireland,1/9/2009 11:38,1/10/2009 14:37,53.4247222,-6.1758333
Karina,1/10/2009 12:05,Product1,1200,Visa,Fort Lauderdale             ,FL,United States,7/1/2008 12:53,1/10/2009 16:33,26.12194,-80.14361
Frank,1/6/2009 1:20,Product1,1200,Mastercard,Melbourne,Victoria,Australia,1/2/2009 17:51,1/10/2009 18:27,-37.8166667,144.9666667
Angela,1/10/2009 14:56,Product1,1200,Visa,Ankeny                      ,IA,United States,1/8/2009 3:06,1/10/2009 19:41,41.72972,-93.60556
Darren,1/7/2009 10:01,Product1,1200,Visa,Pittsboro                   ,NC,United States,1/7/2009 9:04,1/10/2009 20:02,35.72,-79.1775
Nikki,1/1/2009 1:26,Product1,1200,Mastercard,New Rochelle                ,NY,United States,1/1/2009 0:58,1/10/2009 21:31,40.91139,-73.78278
chris,1/11/2009 2:04,Product1,1200,Visa,Gold Coast,Queensland,Australia,1/11/2009 0:33,1/11/2009 2:11,-28,153.4333333
Stephanie,1/11/2009 14:17,Product1,1200,Visa,Brussels,Brussels (Bruxelles),Belgium,1/11/2009 13:39,1/11/2009 13:39,50.8333333,4.3333333
Anushka,1/10/2009 21:38,Product1,1200,Visa,Maple Ridge District Municipality,British Columbia,Canada,1/10/2009 21:17,1/11/2009 19:32,49.25,-122.5
June ,1/7/2009 6:18,Product1,1200,Mastercard,Beachwood                   ,OH,United States,2/23/2006 11:56,1/11/2009 19:35,41.46444,-81.50889
Baybars,1/4/2009 8:39,Product2,3600,Diners,Prince Albert,Saskatchewan,Canada,1/3/2009 17:17,1/11/2009 21:05,53.2,-105.75
Bonnie,1/5/2009 0:31,Product1,1200,Mastercard,Saltsjobaden,Stockholm,Sweden,1/4/2009 23:45,1/12/2009 0:37,59.2833333,18.3
Cindy ,1/2/2009 6:07,Product1,1200,Visa,Kemble,England,United Kingdom,12/30/2008 10:21,1/12/2009 2:24,51.6766667,-2.0180556
chrissy,1/12/2009 3:25,Product1,1200,Mastercard,W Lebanon                   ,NH,United States,1/12/2009 3:12,1/12/2009 3:22,43.64917,-72.31083
Tamar,1/4/2009 13:56,Product1,1200,Mastercard,Headley,England,United Kingdom,11/29/2007 9:23,1/12/2009 5:38,51.1166667,-0.8166667
Deirdre,1/7/2009 0:12,Product2,3600,Mastercard,Lausanne,Vaud,Switzerland,12/1/2008 6:25,1/12/2009 6:55,46.5333333,6.6666667
Bernadett,1/12/2009 5:18,Product1,1200,Mastercard,Southampton,England,United Kingdom,1/12/2009 4:45,1/12/2009 8:08,50.9,-1.4
Dottie,1/8/2009 15:16,Product1,1200,Visa,Woodsboro                   ,MD,United States,1/8/2009 14:56,1/12/2009 9:29,39.53306,-77.315
Stefan,1/11/2009 11:33,Product1,1200,Visa,Stavanger,Rogaland,Norway,1/11/2009 9:02,1/12/2009 10:37,58.9666667,5.75
Gina,1/7/2009 20:22,Product1,1200,Visa,Red Deer,Alberta,Canada,11/23/2008 19:30,1/12/2009 12:24,52.2666667,-113.8
Lynne,1/2/2009 22:00,Product1,1200,Diners,Memphis                     ,TN,United States,1/2/2009 21:04,1/12/2009 13:18,35.14944,-90.04889
Tammy,1/5/2009 13:52,Product1,1200,Mastercard,Morges,Vaud,Switzerland,1/5/2009 5:55,1/12/2009 14:04,46.5166667,6.5
Kim,1/8/2009 20:32,Product1,1200,Visa,Calgary,Alberta,Canada,1/8/2009 20:21,1/12/2009 14:07,51.0833333,-114.0833333
Bruce,1/8/2009 13:34,Product1,1200,Visa,Belleville,Ontario,Canada,1/6/2009 14:38,1/12/2009 18:31,44.1666667,-77.3833333
Rosa Maria,1/11/2009 13:08,Product1,1200,Visa,Cincinnati                  ,OH,United States,1/11/2009 12:38,1/12/2009 18:44,39.16194,-84.45694
Lydia,1/12/2009 19:04,Product1,1200,Visa,Comox,British Columbia,Canada,9/20/2008 20:53,1/12/2009 19:01,49.6833333,-124.9333333
Eric,1/12/2009 13:41,Product1,1200,Visa,Gasperich,Luxembourg,Luxembourg,1/12/2009 13:16,1/13/2009 1:03,49.5855556,6.1230556
AnaPaula,1/11/2009 10:38,Product1,1200,Mastercard,Helens Bay,Northern Ireland,United Kingdom,9/4/2008 9:26,1/13/2009 2:36,54.65,-5.7333333
Robin,1/13/2009 5:57,Product1,1200,Visa,Milan,Lombardy,Italy,10/15/2008 5:31,1/13/2009 5:55,45.4666667,9.2
Gitte,1/13/2009 6:13,Product1,1200,Visa,Staten Island               ,NY,United States,1/13/2009 5:17,1/13/2009 7:33,40.63667,-74.15917
Dr. Claudia,1/8/2009 13:14,Product1,1200,Visa,Oslo,Oslo,Norway,1/8/2009 12:47,1/13/2009 10:49,59.9166667,10.75
Crystal,1/2/2009 11:41,Product1,1200,Visa,Farmington,Michigan,United States,1/1/2009 12:00,1/13/2009 18:34,42.46444,-83.37639
Delphine,1/7/2009 19:50,Product1,1200,Diners,Santa Monica                ,CA,United States,1/3/2009 12:04,1/13/2009 20:17,34.01944,-118.49028
nathalie,1/1/2009 20:28,Product1,1200,Visa,Calgary,Alberta,Canada,1/1/2009 20:11,1/13/2009 21:11,51.0833333,-114.0833333
Lindi,1/3/2009 15:22,Product1,1200,Mastercard,Vancouver,British Columbia,Canada,2/20/2008 22:45,1/13/2009 23:02,49.25,-123.1333333
Valda,1/12/2009 3:03,Product2,3600,Mastercard,Irvine                      ,CA,United States,1/12/2009 2:48,1/14/2009 1:07,33.66944,-117.82222
Marcia,1/5/2009 8:58,Product2,3600,Mastercard,Telgte,Nordrhein-Westfalen,Germany,9/1/2008 3:39,1/14/2009 2:07,52.3333333,7.9
Kevin,1/10/2009 14:03,Product1,1200,Mastercard,Cheltenham,England,United Kingdom,3/13/2006 4:56,1/14/2009 2:22,51.9,-2.0833333
Clare,1/13/2009 11:26,Product1,1200,Visa,Keller                      ,VA,United States,1/13/2009 11:15,1/14/2009 2:39,37.61917,-75.76417
Alice,1/2/2009 12:18,Product1,1200,Visa,Nakskov,Storstrom,Denmark,12/5/2007 11:37,1/14/2009 4:05,54.8333333,11.15
ZENA,1/14/2009 4:54,Product1,1200,Mastercard,Honolulu                    ,HI,United States,1/14/2009 4:34,1/14/2009 4:43,21.30694,-157.85833
Andrea,1/6/2009 17:15,Product1,1200,Visa,Bubuieci,Chisinau,Moldova,12/24/2008 17:31,1/14/2009 10:27,46.985,28.9425
Rennae,1/3/2009 13:56,Product1,1200,Visa,Amelia Island               ,FL,United States,1/3/2009 12:30,1/14/2009 13:03,30.66944,-81.46278
Gerhard,1/4/2009 7:54,Product1,1200,Visa,Alliston,Ontario,Canada,10/21/2005 21:49,1/14/2009 13:06,44.15,-79.8666667
Megan,1/12/2009 7:28,Product1,1200,Amex,La Alberca,Murcia,Spain,12/10/2008 16:41,1/14/2009 13:44,37.9333333,-1.1333333
Danielle,1/6/2009 15:15,Product1,1200,Mastercard,Rathgar,Dublin,Ireland,1/6/2009 14:59,1/14/2009 14:33,53.3122222,-6.2683333
Tod,1/13/2009 23:56,Product1,1200,Mastercard,Coral Gables                ,FL,United States,1/13/2009 23:13,1/14/2009 15:17,25.72111,-80.26861
Janaina,1/14/2009 19:32,Product1,1200,Visa,Miami                       ,FL,United States,12/16/2008 22:19,1/14/2009 19:28,25.77389,-80.19389
Kofi,1/6/2009 21:13,Product1,1200,Visa,Vancouver,British Columbia,Canada,1/7/2008 21:16,1/14/2009 20:50,49.25,-123.1333333
Jennifer,1/14/2009 11:19,Product1,1200,Visa,Jumeira,Dubayy,United Arab Emirates,1/14/2009 10:44,1/14/2009 21:26,25.2097222,55.2477778
Jolene ,1/13/2009 19:39,Product1,1200,Visa,Englewood                   ,CO,United States,1/6/2009 22:00,1/14/2009 22:02,39.64778,-104.98722
anne,1/8/2009 7:26,Product1,1200,Mastercard,Bournemouth,England,United Kingdom,1/25/2008 15:46,1/15/2009 1:36,50.7166667,-1.8833333
Alexis,1/15/2009 2:40,Product1,1200,Mastercard,Genoa                       ,IL,United States,1/15/2009 2:04,1/15/2009 2:04,42.09722,-88.69278
Dez,1/12/2009 6:40,Product1,1200,Visa,Al 'Adliyah,Al Manamah,Bahrain,1/10/2009 12:50,1/15/2009 4:46,26.2172222,50.5405556
Stephanie,1/15/2009 3:43,Product1,1200,Visa,Rouen,Upper Normandy,France,12/26/2008 9:01,1/15/2009 5:39,49.4333333,1.0833333
Melissa ,1/5/2009 15:39,Product1,1200,Visa,Parkland                    ,FL,United States,12/10/2008 9:14,1/15/2009 6:01,26.30972,-80.2375
CLARE,1/10/2009 5:21,Product1,1200,Amex,San Francisco               ,CA,United States,1/10/2009 0:07,1/15/2009 6:25,37.775,-122.41833
catherine,1/15/2009 4:12,Product1,1200,Mastercard,Keller                      ,VA,United States,1/15/2009 4:02,1/15/2009 6:59,37.61917,-75.76417
Veronique ,1/12/2009 11:48,Product1,1200,Visa,Tsawwassen,British Columbia,Canada,7/24/2008 15:48,1/15/2009 8:56,49.0166667,-123.0833333
Bruce and Camille,1/6/2009 10:48,Product1,1200,Mastercard,Clinton                     ,NJ,United States,8/21/2007 21:19,1/15/2009 9:32,40.63667,-74.91028
Ellen,1/14/2009 9:10,Product1,1200,Mastercard,Owensboro                   ,KY,United States,1/14/2009 8:25,1/15/2009 9:40,37.77417,-87.11333
Amy,1/14/2009 22:44,Product1,1200,Visa,Lakewood Village            ,TX,United States,1/14/2009 22:21,1/15/2009 9:50,33.1425,-96.96917
Anna,1/6/2009 7:23,Product1,1200,Visa,Okotoks,Alberta,Canada,7/21/2008 12:03,1/15/2009 10:00,50.7166667,-113.9666667
Regina,1/1/2009 5:04,Product1,1200,Mastercard,Glimmen,Groningen,Netherlands,12/16/2002 4:09,1/15/2009 10:50,53.1333333,6.6333333
Heidi,1/15/2009 11:56,Product1,1200,Visa,Calgary,Alberta,Canada,1/14/2009 9:16,1/15/2009 11:39,51.0833333,-114.0833333
Jessica,1/15/2009 11:58,Product1,1200,Visa,Kanata,Ontario,Canada,1/14/2009 5:59,1/15/2009 11:49,45.3333333,-75.9
Petra,1/12/2009 9:43,Product1,1200,Diners,Bergen,Nordrhein-Westfalen,Germany,1/7/2009 8:39,1/15/2009 12:14,51.7166667,6.5
Brian,1/15/2009 12:33,Product1,1200,Visa,College Park                ,MD,United States,1/15/2009 12:19,1/15/2009 13:28,38.98056,-76.93722
Kenny,1/14/2009 11:35,Product1,1200,Visa,Kailua Kona                 ,HI,United States,1/13/2009 17:42,1/15/2009 15:31,19.7349,-155.9003
ayse,1/14/2009 15:40,Product1,1200,Amex,Redondo Beach               ,CA,United States,1/13/2009 19:37,1/15/2009 15:45,33.84917,-118.3875
Maria and Timothy,1/3/2009 11:08,Product1,1200,Amex,Fountain Hls                ,AZ,United States,6/5/2006 22:42,1/15/2009 16:37,33.61167,-111.71667
IMAN,1/12/2009 1:37,Product1,1200,Visa,Brisbane,Queensland,Australia,1/12/2009 1:26,1/15/2009 17:54,-27.5,153.0166667
Gerald,1/16/2009 7:21,Product1,2100,Mastercard,Mahopac                     ,NY,United States,11/3/2008 14:28,1/16/2009 6:08,41.37222,-73.73389
Annelies,1/15/2009 12:54,Product1,1200,Mastercard,Ile-Perrot,Quebec,Canada,1/15/2009 12:22,1/16/2009 7:53,45.4,-73.9333333
Jocelyn,1/7/2009 7:19,Product1,1200,Amex,Bruxelles,Brussels (Bruxelles),Belgium,6/30/2008 9:33,1/16/2009 8:54,50.8333333,4.3333333
Kara,1/3/2009 9:56,Product1,1200,Visa,Chicago                     ,IL,United States,12/31/2008 16:26,1/16/2009 13:43,41.85,-87.65
Orsi,1/16/2009 17:41,Product1,1200,Visa,Rayford                     ,TX,United States,1/16/2009 17:01,1/16/2009 17:56,30.07972,-95.41694
Ben,1/5/2009 5:33,Product1,1200,Visa,Escondido                   ,CA,United States,1/5/2009 3:19,1/17/2009 0:35,33.11917,-117.08556
Sam,1/2/2009 0:50,Product1,1200,Visa,Tesvikiye,Istanbul,Turkey,1/2/2009 0:10,1/17/2009 1:57,40.6166667,29.0666667
Filip and Teresa,1/13/2009 1:51,Product1,1200,Visa,Centurion,Gauteng,South Africa,1/12/2009 1:40,1/17/2009 2:23,-25.8744444,28.1705556
Grace ,1/15/2009 10:24,Product1,1200,Visa,York,England,United Kingdom,1/13/2009 12:30,1/17/2009 4:42,53.9666667,-1.0833333
Chelsey ,1/11/2009 8:59,Product1,1200,Visa,Ashburn                     ,VA,United States,11/9/2008 5:53,1/17/2009 8:54,39.04361,-77.48778
Charis,1/15/2009 15:56,Product1,1200,Amex,Los Angeles                 ,CA,United States,11/11/2005 11:49,1/17/2009 10:54,34.05222,-118.24278
Marlene,1/1/2009 12:19,Product1,1200,Visa,Edgewood                    ,WA,United States,1/16/2006 14:45,1/17/2009 11:38,47.25028,-122.2925
Fie,1/6/2009 14:03,Product1,1200,Visa,New York                    ,NY,United States,5/1/2008 8:26,1/17/2009 11:44,40.71417,-74.00639
Nicole ,1/9/2009 15:32,Product1,1200,Diners,Basingstoke,England,United Kingdom,1/7/2009 12:31,1/17/2009 12:03,51.2666667,-1.0833333
Linda,1/17/2009 12:59,Product1,1200,Diners,Den Haag,Zuid-Holland,Netherlands,10/29/2008 13:09,1/17/2009 13:07,52.0833333,4.3
Janet,1/12/2009 12:37,Product1,1200,Visa,Marietta                    ,GA,United States,9/13/2007 14:20,1/17/2009 16:17,33.9525,-84.55
Jamie,1/4/2009 7:43,Product1,1200,Mastercard,Houston                     ,TX,United States,1/4/2009 6:51,1/17/2009 17:31,29.76306,-95.36306
Chad,1/17/2009 16:22,Product1,1200,Visa,West Orange                 ,NJ,United States,1/17/2009 15:22,1/17/2009 18:42,40.79861,-74.23944
sunny,1/1/2009 3:51,Product1,1200,Mastercard,Amsterdam,Noord-Holland,Netherlands,9/14/2005 22:53,1/17/2009 22:34,52.35,4.9166667
Anna,1/18/2009 5:27,Product1,1200,Visa,Downey                      ,CA,United States,1/18/2009 4:28,1/18/2009 4:42,33.94,-118.13167
Roger,1/18/2009 5:15,Product1,1200,Diners,Urlingford,Kilkenny,Ireland,1/18/2009 4:44,1/18/2009 4:44,52.7205556,-7.5825
Si,1/1/2009 1:51,Product1,1200,Mastercard,Holte,Kobenhavn,Denmark,12/14/2005 15:46,1/18/2009 4:44,55.8166667,12.4666667
Sherri,1/18/2009 6:30,Product1,1200,Visa,Freienbach,Schwyz,Switzerland,6/22/2008 14:10,1/18/2009 6:21,47.2,8.75
Katherine,1/11/2009 10:51,Product1,1200,Mastercard,Hofheim am Taunus,Hessen,Germany,12/6/2008 1:34,1/18/2009 7:17,50.0833333,8.45
Clare,1/4/2009 17:02,Product1,1200,Mastercard,Lafayette                   ,CA,United States,12/31/2005 0:55,1/18/2009 8:43,37.88583,-122.11694
Campbell,1/17/2009 1:23,Product1,1200,Amex,Mushrif,,Kuwait,1/16/2009 14:26,1/18/2009 9:08,29.2891667,48.05
Ruth,1/18/2009 2:16,Product1,1200,Visa,Nashville                   ,AR,United States,1/16/2009 19:32,1/18/2009 9:13,33.94556,-93.84694
Cheryl,1/18/2009 11:34,Product2,3600,Visa,New Malden,England,United Kingdom,10/28/2005 14:57,1/18/2009 10:27,51.4166667,-0.25
Doug,1/18/2009 4:38,Product1,1200,Visa,Bishop Auckland,England,United Kingdom,12/28/2007 13:39,1/18/2009 11:58,54.65,-1.6666667
Julianne,1/18/2009 13:26,Product3,7500,Mastercard,Navan,Meath,Ireland,1/18/2009 12:20,1/18/2009 12:20,53.6527778,-6.6813889
Shailesh,1/18/2009 11:53,Product1,1200,Visa,Joppa,MD,United States,1/18/2009 0:00,1/18/2009 12:23,39.43361,-76.35806
Conrad,1/18/2009 12:04,Product1,1200,Visa,Joppa,MD,United States,1/18/2009 0:00,1/18/2009 12:23,39.43361,-76.35806
Alison,1/13/2009 19:54,Product1,1200,Diners,Hampton                     ,NJ,United States,1/3/2006 6:09,1/18/2009 12:51,40.70694,-74.95639
Tracy,1/5/2009 21:06,Product1,1200,Mastercard,Louisville                  ,KY,United States,1/5/2009 16:27,1/18/2009 13:58,38.25417,-85.75944
Kate,1/14/2009 6:32,Product1,1200,Visa,Broadlands                  ,VA,United States,4/12/2006 6:14,1/18/2009 14:04,39.04361,-77.48778
Sarka,1/4/2009 23:48,Product1,1200,Diners,Yellowknife,Northwest Territories,Canada,1/4/2009 22:41,1/18/2009 16:17,62.45,-114.35
Therese,1/18/2009 16:32,Product2,3600,Visa,Los Angeles                 ,CA,United States,1/18/2009 16:23,1/18/2009 16:54,34.05222,-118.24278
Abdul-L,1/18/2009 17:04,Product2,3600,Visa,New York                    ,NY,United States,1/18/2009 16:58,1/18/2009 16:58,40.71417,-74.00639
heidi,1/18/2009 17:20,Product2,3600,Visa,Saint Paul                  ,MN,United States,1/18/2009 17:16,1/18/2009 17:16,44.94444,-93.09306
jiyoung,1/18/2009 17:39,Product2,3600,Visa,New York                    ,NY,United States,1/18/2009 17:34,1/18/2009 17:34,40.71417,-74.00639
Klara,1/11/2009 11:20,Product1,1200,Visa,Spring Lake Park            ,MN,United States,12/31/2008 19:48,1/18/2009 17:43,45.10778,-93.23778
Andrew,1/13/2009 20:59,Product1,1200,Mastercard,Winnipeg,Manitoba,Canada,1/13/2009 16:44,1/18/2009 19:17,49.8833333,-97.1666667
Vicki and Bill,1/12/2009 16:50,Product1,1200,Visa,Seattle                     ,WA,United States,1/4/2009 21:33,1/19/2009 1:22,47.60639,-122.33083
David,1/12/2009 15:12,Product1,1200,Mastercard,Deptford                    ,NJ,United States,1/12/2009 14:07,1/19/2009 3:47,39.83806,-75.15306
Antonella,1/6/2009 12:27,Product1,1200,Mastercard,Amsterdam,Noord-Holland,Netherlands,1/6/2009 12:04,1/19/2009 4:59,52.35,4.9166667
David,1/9/2009 18:52,Product1,1200,Visa,Alpharetta                  ,GA,United States,11/25/2008 7:56,1/19/2009 6:12,34.07528,-84.29417
Greg,1/18/2009 23:17,Product1,1200,Visa,Washington                  ,DC,United States,1/18/2009 15:18,1/19/2009 6:13,38.895,-77.03667
Jannik ,1/7/2009 8:21,Product1,1200,Visa,Holmenkollen,Oslo,Norway,1/3/2009 11:06,1/19/2009 6:54,59.9666667,10.6666667
Sylvia,1/3/2009 9:54,Product1,1200,Visa,Zekeriyakoy,Istanbul,Turkey,12/29/2008 10:38,1/19/2009 7:37,41.1980556,29.0302778
Bernadette,1/5/2009 19:37,Product1,1200,Amex,Washington                  ,DC,United States,11/7/2007 9:49,1/19/2009 7:42,38.895,-77.03667
Denise,1/4/2009 12:49,Product1,1200,Diners,Montreal,Quebec,Canada,5/25/2007 10:58,1/19/2009 7:58,45.5,-73.5833333
Caren,1/8/2009 11:55,Product2,3600,Visa,Braunschweig,Lower Saxony,Germany,1/3/2009 12:39,1/19/2009 8:31,52.2666667,10.5333333
luciana,1/14/2009 18:21,Product1,1200,Visa,Athens                      ,GA,United States,9/25/2005 6:25,1/19/2009 11:21,33.96083,-83.37806
Maja,1/11/2009 19:01,Product1,1200,Diners,Hoschton                    ,GA,United States,1/11/2009 18:17,1/19/2009 12:47,34.09639,-83.76139
Kristen,1/14/2009 5:20,Product2,3600,Visa,Binningen,Basel-Country,Switzerland,1/12/2009 13:31,1/19/2009 13:07,47.5333333,7.5666667
Kirstie,1/15/2009 8:07,Product1,1200,Visa,Royal Oak                   ,MI,United States,12/13/2008 19:35,1/19/2009 14:59,42.48944,-83.14472
Scott ,1/15/2009 8:10,Product1,1200,Visa,Royal Oak                   ,MI,United States,12/13/2008 19:35,1/19/2009 14:59,42.48944,-83.14472
Jammie,1/2/2009 17:45,Product1,1200,Mastercard,Belmont                     ,MA,United States,12/9/2005 17:19,1/19/2009 15:36,42.39583,-71.17917
Frank,1/19/2009 16:10,Product1,1200,Mastercard,Old Greenwich               ,CT,United States,1/19/2009 15:31,1/19/2009 16:00,41.02278,-73.56528
scott,1/19/2009 16:55,Product1,1200,Mastercard,Coconut Grove               ,FL,United States,1/19/2009 16:18,1/19/2009 16:18,25.71222,-80.25722
Jiri,1/10/2009 17:41,Product1,1200,Visa,Vienna                      ,VA,United States,1/10/2009 16:32,1/19/2009 17:52,38.90111,-77.26556
